Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1991,1991,7021,Annual value,LCU,36075,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1992,1992,7021,Annual value,LCU,36250,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1993,1993,7021,Annual value,LCU,60875,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1994,1994,7021,Annual value,LCU,59150,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1995,1995,7021,Annual value,LCU,56675,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1996,1996,7021,Annual value,LCU,48000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1997,1997,7021,Annual value,LCU,45225,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1998,1998,7021,Annual value,LCU,40150,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",1999,1999,7021,Annual value,LCU,49625,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2000,2000,7021,Annual value,LCU,80000,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2002,2002,7021,Annual value,LCU,49300,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2003,2003,7021,Annual value,LCU,135375,A,Official figure
PP,Producer Prices,586,Pakistan,5530,Producer Price (LCU/tonne),01371,"Almonds, in shell",2004,2004,7021,Annual value,LCU,138090,A,Official figure
